,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
195,ADQ045,Speech,Speech MC2,Speech 3,0.06065393408004508,Speech
196,ADQ046,Speech,Speech MC2,Speech 3,0.08179976319839966,Speech
197,ADQ047,Speech,Speech MC2,Speech 3,0.01779401031394547,Speech
198,ADQ048,Speech,Speech MC2,Speech 3,0.04062860086434287,Speech
199,ADQ049,Speech,Speech MC2,Speech 3,0.017885339163935716,Speech
200,ADQ050,Speech,Speech MC2,Speech 3,-0.001809269695579207,Speech
201,ADQ051,Speech,Speech MC2,Speech 3,0.03817892121965517,Speech
202,ADQ052,Speech,Speech MC2,Speech 3,0.02070900442903958,Speech
203,ADQ053,Speech,Speech MC2,Speech 3,0.04503857012572032,Speech
204,ADQ054,Speech,Speech MC2,Speech 3,0.017835522348283433,Speech
205,ADQ055,Speech,Speech MC2,Speech 3,0.1015744686769043,Speech
206,ADQ056,Speech,Speech MC2,Speech 3,0.06291414733299128,Speech
207,ADQ057,Speech,Speech MC2,Speech 3,0.05629975648410917,Speech
208,ADQ058,Speech,Speech MC2,Speech 3,0.038901138287754156,Speech
209,ADQ059,Speech,Speech MC2,Speech 3,0.07400501321296798,Speech
210,ADQ060,Speech,Speech MC2,Speech 3,0.08186884727152428,Speech
211,ADQ061,Speech,Speech MC2,Speech 3,0.1406651980676377,Speech
212,ADQ062,Speech,Speech MC2,Speech 3,0.08367280590108878,Speech
213,ADQ063,Speech,Speech MC2,Speech 3,0.0860352853153243,Speech
214,ADQ064,Speech,Speech MC2,Speech 3,0.01285100787894325,Speech
215,ADQ065,Speech,Speech MC2,Speech 3,0.01808718285817802,Speech
216,ADR067,Speech,Speech MC2,Speech 3,-0.02259422174722883,Speech
217,ADR068,Speech,Speech MC2,Speech 3,0.07063972473603121,Speech
218,ADR069,Speech,Speech MC2,Speech 3,0.03563774546674654,Speech
219,ADR070,Speech,Speech MC2,Speech 3,0.011985155131504556,Speech
220,ADR071,Speech,Speech MC2,Speech 3,0.07073340971521565,Speech
