,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
92,ADQ025,Speech,Speech 7,Speech 3,0.050510981874873864,0.057556360748501,Speech,Speech
93,ADQ058,Speech,Speech 7,Speech 3,0.006701385443252867,0.05622565816262075,Speech,Speech
94,ADQ044,Speech,Speech 7,Speech 3,0.014266553356122313,0.03621353845018038,Speech,Speech
95,ADQ035,Speech,Speech 7,Speech 3,-0.011342475863723613,0.0019514522889778983,Speech,Speech
96,ADQ036,Speech,Speech 7,Speech 3,-0.0026229658463961273,0.05999183672776697,Speech,Speech
97,AEQ088,Speech,Speech 7,Speech 3,-0.021802808349600425,0.005507710262672781,Speech,Speech
98,AEQ081,Speech,Speech 7,Speech 3,0.024325424692930222,0.02310144835880922,Speech,Speech
99,ADQ003,Speech,Speech 7,Speech 3,0.024950439479745547,0.06099559578773895,Speech,Speech
100,ADQ028,Speech,Speech 7,Speech 3,0.051420403051346916,0.044670880371882604,Speech,Speech
101,ADQ033,Speech,Speech 7,Speech 3,-0.004049924066316155,0.010821833029001218,Speech,Speech
102,ADQ001,Speech,Speech 7,Speech 3,-0.08052514574595444,0.04227907549520069,Speech,Speech
103,ADQ054,Speech,Speech 7,Speech 3,-0.037539189393542644,0.008433482392601478,Speech,Speech
104,ADQ011,Speech,Speech 7,Speech 3,0.008809850931384953,0.007400325039229418,Speech,Speech
105,ADQ061,Speech,Speech 7,Speech 3,-0.06648930691788675,0.017658768715867336,Speech,Speech
106,ADR067,Speech,Speech 7,Speech 3,-0.036827044410803034,0.028227653251900475,Speech,Speech
107,AEQ080,Speech,Speech 7,Speech 3,0.023287218260020122,0.04548422085939248,Speech,Speech
108,ADQ014,Speech,Speech 7,Speech 3,0.046276497394053734,0.034958015669885406,Speech,Speech
109,ADQ040,Speech,Speech 7,Speech 3,0.004413570355041108,0.03216844089925568,Speech,Speech
110,ADQ062,Speech,Speech 7,Speech 3,-0.06560743608171449,0.046583908372149825,Speech,Speech
111,AEQ085,Speech,Speech 7,Speech 3,0.005788441813077239,0.04475733423876713,Speech,Speech
112,ADQ052,Speech,Speech 7,Speech 3,-0.011940309296648372,0.023453498488941002,Speech,Speech
113,ADQ056,Speech,Speech 7,Speech 3,-0.0011275653070659877,0.08388138930576772,Speech,Speech
114,ADQ012,Speech,Speech 7,Speech 3,-0.009107641275135088,0.0172844272460108,Speech,Speech
115,ADQ022,Speech,Speech 7,Speech 3,-0.008195562159892415,0.023309336978868733,Speech,Speech
116,ADQ037,Speech,Speech 7,Speech 3,-0.006565231998325156,0.06343132240051703,Speech,Speech
117,ADQ013,Speech,Speech 7,Speech 3,-0.0047120246457655265,0.009837010885585553,Speech,Speech
118,ADR071,Speech,Speech 7,Speech 3,-0.025444201561761626,0.057251175901801246,Speech,Speech
119,ADQ055,Speech,Speech 7,Speech 3,0.04591552107703348,0.04887856032412362,Speech,Speech
120,ADQ009,Speech,Speech 7,Speech 3,0.019221671978567285,0.029684654743164333,Speech,Speech
121,ADQ047,Speech,Speech 7,Speech 3,0.01776075696746445,0.01930197254859125,Speech,Speech
122,AEQ082,Speech,Speech 7,Speech 3,0.02204032986406302,0.03700637162958162,Speech,Speech
123,AER090,Speech,Speech 7,Speech 3,0.0012498375299524345,0.05412846675297712,Speech,Speech
124,ADQ031,Speech,Speech 7,Speech 3,-0.005842807708744296,0.06123919417519154,Speech,Speech
125,ADQ015,Speech,Speech 7,Speech 3,-0.03619262137939847,0.004369262485203444,Speech,Speech
126,ADQ050,Speech,Speech 7,Speech 3,-0.014227939851488281,0.027963607058479258,Speech,Speech
127,ADQ020,Speech,Speech 7,Speech 3,0.04653636002350202,0.0436410993938475,Speech,Speech
128,ADQ034,Speech,Speech 7,Speech 3,0.014800696568105695,0.054201185112795536,Speech,Speech
129,ADQ023,Speech,Speech 7,Speech 1,0.0349773745030501,-0.051871958437284905,Speech,Speech
130,ADQ007,Speech,Speech 7,Speech 1,0.013231634397526795,0.04331491266667817,Speech,Speech
131,ADQ030,Speech,Speech 7,Speech 1,0.047402289031944635,0.02072709606268761,Speech,Speech
